Scientifc_name,Status,Senior_Junior_synonym,Combination
"Tetragonopterus oerstedii Lütken, 1875",synonym,senior,original
"Charax gibbosus (Linnaeus, 1758)",accepted,senior,new
"Salmo gibbosus Linnaeus, 1758",synonym,senior,original
"Cynopotamus gibbosus Valenciennes, 1850",synonym,junior,original
"Charax macrolepis (Kner, 1858)",accepted,senior,new
"Epicyrtus macrolepis Kner, 1858",synonym,senior,original
"Charax pauciradiatus (Günther, 1864)",accepted,senior,new
"Anacyrtus pauciradiatus Günther, 1864",synonym,senior,original
"Charax tectifer (Cope, 1870)",accepted,senior,new
"Anacyrtus tectifer Cope, 1870",synonym,senior,original
"Hydrolycus copei Gill, 1870",synonym,junior,original
"Anacyrtus sanguineus Cope, 1872",synonym,junior,original
"Charax stenopterus (Cope, 1894)",accepted,senior,new
"Asiphonichthys stenopterus Cope, 1894",synonym,senior,original
"Charax hemigrammus (Eigenmann, 1912)",accepted,senior,new
"Asiphonichthys hemigrammus Eigenmann, 1912",synonym,senior,original
"Charax rupununi Eigenmann, 1912",accepted,senior,original
"Charax metae Eigenmann, 1922",accepted,senior,original
"Charax condei (Géry & Knöppel, 1976)",accepted,senior,new
"Asiphonichthys condei Géry & Knöppel, 1976",synonym,senior,original
"Charax apurensis Lucena, 1987",accepted,senior,original
"Charax caudimaculatus Lucena, 1987",accepted,senior,original
"Charax leticiae Lucena, 1987",accepted,senior,original
"Charax notulatus Lucena, 1987",accepted,senior,original
"Charax michaeli Lucena, 1989",accepted,senior,original
"Charax niger Lucena, 1989",accepted,senior,original
"Charax unimaculatus Lucena, 1989",accepted,senior,original
"Charax delimai Menezes & Lucena, 2014",accepted,senior,original
"Charax awa Guimarães, Brito, Ferreira & Ottoni, 2018",accepted,senior,original
"Cynopotamus argenteus (Valenciennes, 1836)",accepted,senior,new
"Hydrocyon argenteum Valenciennes, 1836",synonym,senior,original
"Characinus squamosus Eigenmann & Kennedy, 1903",synonym,junior,original
"Charax caliurus Eigenmann & Kennedy, 1907",synonym,junior,original
"Cynopotamus amazonum (Günther, 1868)",accepted,senior,new
"Anacyrtus amazonum Günther, 1868",synonym,senior,original
"Anacrytus limaesquamis Cope, 1878",synonym,junior,original
"Cynopotamus magdalenae (Steindachner, 1879)",accepted,senior,new
"Anacyrtus magdalenae Steindachner, 1879",synonym,senior,original
"Cynopotamus atratoensis (Eigenmann, 1907)",accepted,senior,new
"Charax atratoensis Eigenmann, 1907",synonym,senior,original
"Cynopotamus bipunctatus Pellegrin, 1909",accepted,senior,original
"Cynopotamus essequibensis Eigenmann, 1912",accepted,senior,original
"Cynopotamus venezuelae (Schultz, 1944)",accepted,senior,new
"Cyrtocharax magdalenae venezuelae Schultz, 1944",synonym,senior,original
"Cynopotamus kincaidi (Schultz, 1950)",accepted,senior,new
"Cyrtocharax kincaidi Schultz, 1950",synonym,senior,original
"Cynopotamus gouldingi Menezes, 1987",accepted,senior,original
"Cynopotamus juruenae Menezes, 1987",accepted,senior,original
"Cynopotamus tocantinensis Menezes, 1987",accepted,senior,original
"Cynopotamus xinguano Menezes, 2007",accepted,senior,original
"Roeboides microlepis (Reinhardt, 1851)",accepted,senior,new
"Epicyrtus microlepis Reinhardt, 1851",synonym,senior,original
"Epicyrtus microlepis Kner, 1858",ambiguous,homonym,original
"Anacyrtus bonariensis Steindachner, 1879",synonym,junior,original
"Roeboides xenodon (Reinhardt, 1851)",accepted,senior,new
"Epicyrtus xenodon Reinhardt, 1851",synonym,senior,original
"Raeboides francisci Steindachner, 1908",synonym,junior,original
"Roeboides guatemalensis (Günther, 1864)",accepted,senior,new
"Anacyrtus guatemalensis Günther, 1864",synonym,senior,original
"Anacyrtus affinis Günther, 1868",synonym,senior,original
"Roeboides bicornis Cope, 1870",synonym,junior,original
"Roeboides thurni Eigenmann, 1912",synonym,junior,original
"Roeboides myersii Gill, 1870",accepted,senior,original
"Raeboides myersii Gill, 1870",synonym,senior,original
"Roeboides rubrivertex Cope, 1872",synonym,junior,original
"Charax hasemani Steindachner, 1915",synonym,junior,original
"Roeboides dayi (Steindachner, 1878)",accepted,senior,new
"Anacyrtus dayi Steindachner, 1878",synonym,senior,original
"Roeboides caucae Eigenmann, 1922",synonym,junior,original
"Roeboides magdalenae Eigenmann, 1922",synonym,junior,original
"Roeboides meeki Eigenmann, 1922",synonym,junior,original
"Roeboides romeroi Fowler, 1941",synonym,junior,original
"Roeboides biserialis (Garman, 1890)",accepted,senior,new
"Cynopotamus biserialis Garman, 1890",synonym,senior,original
"Roeboides prognathus (Boulenger, 1895)",accepted,senior,new
"Anacyrtus prognathus Boulenger, 1895",synonym,senior,original
"Roeboides occidentalis Meek & Hildebrand, 1916",accepted,senior,original
"Roeboides hildebrandi Eigenmann, 1922",synonym,junior,original
"Roeboides bouchellei Fowler, 1923",accepted,senior,original
"Roeboides salvadoris Hildebrand, 1925",synonym,junior,original
"Roeboides descalvadensis Fowler, 1932",accepted,senior,original
"Roeboides paranensis Pignalberi, 1975",synonym,junior,original
"Roeboides dientonito Schultz, 1944",accepted,senior,change in rank
"Roeboides dayi dientonito Schultz, 1944",synonym,senior,original
