Scientifc_name,Status,Senior_Junior_synonym,Combination
"Cichla ocellaris Bloch & Schneider, 1801",accepted,senior,original
"Acharnes speciosus Müller & Troschel, 1849",synonym,junior,original
"Cichla orinocensis Humboldt, 1821",accepted,senior,original
"Cichla argus Valenciennes, 1821",synonym,junior,original
"Cichla temensis Humboldt, 1821",accepted,senior,original
"Cichla atabapensis Humboldt, 1821",synonym,junior,original
"Cichla tucunare Heckel, 1840",synonym,junior,original
"Cychla trifasciata Jardine & Schomburgk, 1843",synonym,junior,original
"Cychla flavomaculata Jardine & Schomburgk, 1843",synonym,junior,original
"Cichla unitaeniatus Magalhaes, 1931",synonym,junior,original
"Cichla monoculus Agassiz, 1831",accepted,senior,original
"Cychla monoculus Agassiz, 1831",synonym,senior,original
"Cycla toucounarai Castelnau, 1855",synonym,junior,original
"Cichla bilineatus Nakashima, 1941",synonym,junior,original
"Cichla nigromaculata Jardine & Schomburgk, 1843",accepted,senior,original
"Cychla nigromaculata Jardine & Schomburgk, 1843",synonym,senior,original
"Cichla intermedia Machado-Allison, 1971",accepted,senior,original
"Cichla jariina Kullander & Ferreira, 2006",accepted,senior,original
"Cichla kelberi Kullander & Ferreira, 2006",accepted,senior,original
"Cichla melaniae Kullander & Ferreira, 2006",accepted,senior,original
"Cichla mirianae Kullander & Ferreira, 2006",accepted,senior,original
"Cichla pinima Kullander & Ferreira, 2006",accepted,senior,original
"Cichla piquiti Kullander & Ferreira, 2006",accepted,senior,original
"Cichla pleiozona Kullander & Ferreira, 2006",accepted,senior,original
"Cichla thyrorus Kullander & Ferreira, 2006",accepted,senior,original
"Cichla vazzoleri Kullander & Ferreira, 2006",accepted,senior,original
"Crenicichla macrophthalma Heckel, 1840",accepted,senior,original
"Crenicichla santaremensis Haseman, 1911",synonym,junior,original
"Crenicichla saxatilis (Linnaeus, 1758)",accepted,senior,new
"Sparus saxatilis Linnaeus, 1758",synonym,senior,original
"Sparus biocellatus Walbaum, 1792",synonym,junior,original
"Sparus pavo Lacepède, 1802",synonym,junior,original
"Scarus pavoninus Gronow, 1854",synonym,junior,original
"Crenicichla brasiliensis (Bloch, 1792)",accepted,senior,new
"Perca brasiliensis Bloch, 1792",synonym,senior,original
"Sparus nhoquunda Lacepède, 1802",synonym,junior,original
"Crenicichla labrina (Spix & Agassiz, 1831)",accepted,senior,new
"Cychla labrina Spix & Agassiz, 1831",synonym,senior,original
"Crenicichla adspersa Heckel, 1840",accepted,senior,original
"Crenicichla funebris Heckel, 1840",synonym,junior,original
"Crenicichla johanna Heckel, 1840",accepted,senior,original
"Cychla fasciata Jardine, 1843",synonym,junior,original
"Crenicichla obtusirostris Günther, 1862",synonym,junior,original
"Crenicichla johanna carsevennensis Pellegrin, 1905",synonym,junior,original
"Crenicichla lenticulata Heckel, 1840",accepted,senior,original
"Crenicichla ornata Regan, 1905",synonym,junior,original
"Crenicichla lepidota Heckel, 1840",accepted,senior,original
"Crenicichla edithae Ploeg, 1991",synonym,junior,original
"Crenicichla lugubris Heckel, 1840",accepted,senior,original
"Crenicichla funebris Heckel, 1840",ambiguous,questionable,original
"Cychla rutilens Jardine, 1843",synonym,junior,original
"Crenicichla reticulata (Heckel, 1840)",accepted,senior,new
"Batrachops reticulatus Heckel, 1840",synonym,senior,original
"Crenicichla elegans Steindachner, 1881",synonym,junior,original
"Batrachops punctulatus Regan, 1905",synonym,junior,original
"Crenicichla semifasciata (Heckel, 1840)",accepted,senior,new
"Batrachops semifasciatus Heckel, 1840",synonym,senior,original
